ProductID	ProductName	Price	CategoryID	Class	ModifyDate	Resistant	IsAllergic	Bio
1	Flour - Whole Wheat	74,2988	3	Medium	2018-02-16 08:21:49.190	Durable	NULL	No
2	Cookie Chocolate Chip With	91,2329	3	Medium	2017-02-12 11:39:10.970	NULL	NULL	No
3	Onions - Cippolini	9,1379	9	Medium	2018-03-15 08:11:51.560	Weak	False	No
4	Sauce - Gravy, Au Jus, Mix	54,3055	9	Medium	2017-07-16 00:46:28.880	Durable	NULL	No
5	Artichokes - Jerusalem	65,4771	2	Low	2017-08-16 14:13:35.430	Durable	True	Yes
6	Wine - Magnotta - Cab Sauv	79,7184	8	High	2017-05-25 15:08:39.690	NULL	NULL	No
7	Table Cloth - 53x69 Colour	31,837	9	Medium	2017-02-24 15:14:30.050	Durable	False	Yes
8	Halibut - Steaks	89,8573	5	Medium	2018-03-24 05:21:21.890	NULL	True	Yes
9	Rabbit - Whole	84,4219	11	Medium	2017-06-17 12:12:04.670	Durable	NULL	No
10	Scampi Tail	95,0957	4	Low	2017-07-30 10:11:45.990	Weak	True	No
11	Garbage Bags - Clear	6,2949	9	Low	2017-01-05 21:02:21.330	Durable	True	No
12	Ezy Change Mophandle	49,3356	4	Medium	2017-11-01 09:49:59.030	Durable	True	No
13	Water, Tap	28,2232	11	Low	2017-01-16 19:49:10.930	Durable	False	No
14	Beef - Top Sirloin	3,3324	7	Medium	2017-02-26 11:40:47.850	Durable	True	No
15	Spoon - Soup, Plastic	32,442	1	Low	2017-03-03 09:47:09.310	Weak	True	No
16	Kellogs Special K Cereal	54,7246	2	Low	2017-01-23 09:25:47.110	Durable	True	No
17	Wine - White, Mosel Gold	43,9182	10	Medium	2017-03-01 14:03:04.920	NULL	NULL	No
18	Lamb - Whole, Fresh	23,3966	10	Medium	2017-12-19 16:45:04.730	NULL	False	No
19	Tea - Earl Grey	22,5614	3	Medium	2017-06-14 22:39:53.340	Weak	True	No
